delta,eta,es_baseline,riqueza_final,log_crecimiento_medio,CAGR,varianza_mensual,max_drawdown,peor_mes,percentil5_mensual,VaR_perdida,CVaR_perdida,turnover_total,n_transacciones,turnover_medio_activo,costo_total,costo_medio,peso_max_promedio,peso_max_pico,Neff_promedio,violaciones_delta,min_factor_crecimiento,fraccion_factible,fallos_solver,n_meses,CAGR_diff_vs_baseline,MDD_diff_vs_baseline
0.5,1,0,1.03181968505185,0.000652581833467257,0.00786172433632304,3.88487681563124e-07,0,1.29128139469969e-06,8.33318216533208e-06,-8.33318216533208e-06,-4.81198045465536e-06,0.00256113979947064,40,6.40296448148408e-05,2.58733833605814e-06,5.39028820012112e-08,0.353761082054357,0.536924031653941,4.22698338399048,0,1.00000129128139,1,0,48,-0.232436625356158,-0.195859054843762
0.6,0,1,2.36654940283746,0.0179465197094743,0.240306140336837,0.00241161928170225,0.195858500146563,-0.108608877940651,-0.0669224162423436,0.0669224162423436,0.0950417068056835,4.73062818989831,48,0.0985547539562148,0.00676936711786961,0.000141028481622284,0.250024443439583,0.250249999606351,4.21696726238093,0,0.891391122059349,1,0,48,0,0
0.6,0.01,0,2.32592198903342,0.0175857607261535,0.234948326993911,0.0023363159430191,0.195866373226175,-0.10860909029616,-0.0619846512169671,0.061984651216967,0.0950420480673704,4.13508379873916,48,0.0861475791403991,0.00599326735249947,0.000124859736510406,0.25002150715967,0.250249999070544,4.33291923080715,0,0.89139090970384,1,0,48,-0.00535781334292573,7.87307961158668e-06
0.6,0.02,0,2.22158011898821,0.0166295564168624,0.220858960514353,0.00231794592706554,0.197168069698623,-0.108609073164651,-0.0624324879600495,0.0624324879600494,0.0964826200076798,4.24232320525865,48,0.0883817334428886,0.00614568911137582,0.00012803518982033,0.250022070886361,0.250249999851267,4.31346186694268,0,0.891390926835349,1,0,48,-0.0194471798224838,0.00130956955205974
0.6,0.03,0,2.18230396949584,0.0162579413635779,0.215426806725114,0.00225895050660519,0.194677311481835,-0.106368334623483,-0.0611979770547823,0.0611979770547822,0.0947000356353556,3.94335116437064,48,0.0821531492577216,0.00562350321563983,0.000117156316992497,0.25002050530629,0.25024999941096,4.36407037622425,0,0.893631665376517,1,0,48,-0.024879333611723,-0.00118118866472783
0.6,0.04,0,2.06707422813878,0.0151277956480018,0.199054761655563,0.00223185308641175,0.195565258310004,-0.106368469875407,-0.0604737876600838,0.0604737876600837,0.0959328392554118,4.08039968665564,48,0.0850083268053259,0.00555256953054272,0.000115678531886307,0.249419113682012,0.250249993143434,4.40195166345759,0,0.893631530124593,1,0,48,-0.0412513786812738,-0.000293241836558433
0.6,0.05,0,2.09451187302776,0.015402511042878,0.203014069795236,0.00221167284426543,0.199766643775641,-0.108803224109946,-0.0614011620761676,0.0614011620761675,0.0985104364548892,4.0811525932952,48,0.0850240123603167,0.00585906071552021,0.000122063764906671,0.249595693660629,0.250249999384132,4.57355059815308,0,0.891196775890054,1,0,48,-0.0372920705416009,0.00390814362907776
0.6,0.1,0,1.69355525670103,0.0109756254467074,0.140774600008675,0.0015803858227792,0.174607106700498,-0.103615256371239,-0.0646628400406863,0.0646628400406862,0.0938426027317698,4.23047410603683,48,0.0881348772091006,0.005317554947389,0.000110782394737271,0.248598306994902,0.250076719594906,5.8258942802394,0,0.896384743628761,1,0,48,-0.099531540328162,-0.0212513934460651
0.6,0.15,0,1.57040515095588,0.00940278425005576,0.119445430120348,0.00128681723970285,0.140162239457318,-0.0962041629272163,-0.0620802282255269,0.0620802282255268,0.0829218992202374,3.61331367103817,48,0.0752773681466286,0.00436675490397289,9.09740604994352e-05,0.245375166187461,0.294365463498141,6.85834461697778,0,0.903795837072784,1,0,48,-0.120860710216488,-0.0556962606892452
0.6,0.3,0,1.03194892892356,0.000655191215784565,0.00789328358916253,3.88213036574336e-07,0,2.10828111368855e-06,1.13476966284942e-05,-1.13476966284942e-05,-5.70799822574575e-06,0.00622402014418644,48,0.000129667086337218,6.27990929791626e-06,1.30831443706589e-07,0.318897268574524,0.417279829792949,5.66442232831949,0,1.00000210828111,1,0,48,-0.232412856747674,-0.195858500146563
